human_symbol,mouse_symbol,human_ensembl,mouse_ensembl,effect,pathway,is_core,is_mitochondrial,sources,in_GO,in_KEGG,in_Reactome,in_Hallmark,confidence,evidence_score,original_category,family_pathway,modality
SOS2,Sos2,ENSG00000100485,ENSMUSG00000034801,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
SOX4,Sox4,ENSG00000124766,ENSMUSG00000076431,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
SOX7,Sox7,ENSG00000171056,ENSMUSG00000063060,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
SPDEF,Spdef,ENSG00000124664,ENSMUSG00000024215,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
SPHK2,Sphk2,ENSG00000063176,ENSMUSG00000057342,pro-death,apoptosis,FALSE,TRUE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
SRPK2,Srpk2,ENSG00000135250,ENSMUSG00000062604,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
ST18,St18,ENSG00000147488,ENSMUSG00000033740,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
STK17A,NA,ENSG00000164543,NA,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
STK17B,Stk17b,ENSG00000081320,ENSMUSG00000026094,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
STK24,Stk24,ENSG00000102572,ENSMUSG00000063410,pro-death,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,HIGH_CONFIDENCE,2,Unspecified,NA,NA
STK26,Stk26,ENSG00000134602,ENSMUSG00000031112,pro-death,apoptosis,FALSE,FALSE,Reactome,FALSE,FALSE,TRUE,FALSE,HIGH_CONFIDENCE,2,Unspecified,NA,NA
STK3,Stk3,ENSG00000104375,ENSMUSG00000022329,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
STK4,Stk4,ENSG00000101109,ENSMUSG00000018209,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
STPG1,Stpg1,ENSG00000001460,ENSMUSG00000028801,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
STYXL1,Styxl1,ENSG00000127952,ENSMUSG00000019178,pro-death,apoptosis,FALSE,TRUE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
SUDS3,Suds3,ENSG00000111707,ENSMUSG00000066900,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
SYK,Syk,ENSG00000165025,ENSMUSG00000021457,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
TCTN3,Tctn3,ENSG00000119977,ENSMUSG00000025008,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
TFAP4,Tfap4,ENSG00000090447,ENSMUSG00000005718,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
TFDP1,Tfdp1,ENSG00000198176,ENSMUSG00000038482,pro-death,apoptosis,FALSE,FALSE,"GO_Pro_Human,Reactome",TRUE,FALSE,TRUE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
TFDP2,Tfdp2,ENSG00000114126,ENSMUSG00000032411,pro-death,apoptosis,FALSE,FALSE,"GO_Pro_Human,Reactome",TRUE,FALSE,TRUE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
TFPT,Tfpt,ENSG00000105619,ENSMUSG00000006335,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
